"P/O Number","Backorder Number","SKU Number","Location","Distributed Qty","Total Rec""d Qty","Current Rec""d Qty","PROCESSED Y/N","Buy U/M Cost","Sell U/M Cost","Unit Retail"
300025,0,30000016,1425,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000016,2268,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000017,138,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000017,274,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000017,457,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000017,1267,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000017,1296,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000017,1425,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000017,2268,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000018,138,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000018,274,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000018,457,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000018,1267,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000018,1296,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000018,1425,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000019,138,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000019,274,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000019,457,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000019,1267,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000019,1296,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000019,1425,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000019,2268,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000020,138,3.0,0,3.0,"",500.0,500.0,999.0
300025,0,30000020,274,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000020,457,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000020,1267,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000020,1296,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000020,1425,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000020,2268,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000021,138,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000021,274,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000021,457,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000021,1267,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000021,1296,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000021,1425,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000021,2268,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000022,138,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000022,274,2.0,0,2.0,"",500.0,500.0,999.0
300025,0,30000022,457,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000022,1267,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000022,1296,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000022,1425,1.0,0,1.0,"",500.0,500.0,999.0
300025,0,30000022,2268,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000013,94,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000013,134,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000013,238,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000013,351,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000013,353,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000013,445,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000013,2553,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000013,3066,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000014,94,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000014,134,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000014,238,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000014,351,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000014,353,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000014,445,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000014,2553,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000014,3066,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000015,94,3.0,0,3.0,"",500.0,500.0,999.0
300026,0,30000015,134,3.0,0,3.0,"",500.0,500.0,999.0
300026,0,30000015,238,3.0,0,3.0,"",500.0,500.0,999.0
300026,0,30000015,351,3.0,0,3.0,"",500.0,500.0,999.0
300026,0,30000015,353,3.0,0,3.0,"",500.0,500.0,999.0
300026,0,30000015,445,3.0,0,3.0,"",500.0,500.0,999.0
300026,0,30000015,2553,3.0,0,3.0,"",500.0,500.0,999.0
300026,0,30000015,3066,3.0,0,3.0,"",500.0,500.0,999.0
300026,0,30000016,94,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000016,134,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000016,238,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000016,351,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000016,353,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000016,445,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000016,2553,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000016,3066,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000017,94,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000017,134,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000017,238,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000017,351,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000017,353,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000017,445,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000017,2553,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000017,3066,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000018,94,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000018,134,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000018,238,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000018,351,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000018,353,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000018,445,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000019,94,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000019,134,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000019,238,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000019,351,2.0,0,2.0,"",500.0,500.0,999.0
300026,0,30000019,353,1.0,0,1.0,"",500.0,500.0,999.0
300026,0,30000019,445,1.0,0,1.0,"",500.0,500.0,999.0
